Reviews,Summary
"This book's sections on Human Relations explores how social processes at work meet the human desire for personal identity and a sense of beloning. This theme though not directly relationed to equality and diversity, sets the tone on the importance of inclusivity within the work place (see Lecture 3, Slide 4)","This book's sections on Human Relations explores how social processes at work meet the human desire for personal identity and a sense of beloning. This theme though not directly relationed to equality and diversity, sets the tone on the importance of in"
"This resource has a chapter which explores the inequalities of Gender Pay Gap, which illuminates the existing discrepencies that women face in the employment.. This exposes students to the current inequalities which may help foster an inclusive mindset and motivate empowerment for change.

Additionally author and professor Scott Lawley has published work on workplace democracy and alternative forms organisation, with this doctoral students working on inclusive topics such as: Professionalisation of the funeral industry in Zimbabwe; the challenges of decision-making within Arabian culture; the organizational culture of Bahrain; and an ethnography of the dynamics of trust and knowledge sharing within an SME network.",This resource has a chapter which explores the inequalities of Gender Pay Gap. This exposes students to the current inequalities which may help foster an inclusive mindset.
"This resource delves into the problems surrounding the systematic nature of bureacracy, and  briefly touches on the saturation of feminist theories in relation to bureacracy. This sheds light on current  issues to do women and inequality that this structure and organisation of work  (bureacracy) has which creates awareness and empowerment for change.",This resource delves into the problems surrounding the systematic nature of bureacracy. This sheds light on current  issues to do women and inequality that this structure and organisation of work has.
"This article explores the sexualisation of women historically for organisational benefit, and how there has been an increase in the sexualisation of men too, for business benefit. This is important for students to understand as it sheds light on the current issues facing business strategies to attract customers, and encourages students to critically understand this and how this might be overcome.","This article explores the sexualisation of women historically for organisational benefit, and how there has been an increase in the sexualised of men too. This is important for students to understand as it sheds light on the current issues facing business strategies"
"This article explores the risks and burden of the extreme work, and how it particularly  impacts women. It teaches students that women struggle to meet the extensive hours that extreme hours demands, compared to their male counterparts. This is especially true for women with external responsibilities like women with children. This affects women's job progression and  satisfaction. Making students aware that this extreme working proposition negatively affects both men and women -  but women even more so is important to understand the challenges faced in business and for students themselves joining the workforce soon.","This article explores the risks and burden of the extreme work, and how it particularly impacts women. It teaches students that women struggle to meet the extensive hours that extreme hours demands, compared to their male counterparts. This is especially true for women"
"Explores the hardships experienced by workers at Foxconn, an international electronic manufacturer based in Taiwan and China. This sheds light on some of the issues related to excessive labour in the Global South, which is valuable for students to be aware of and understand.","This article sheds light on some of the issues related to excessive labour in the Global South. Explores the hardships experienced by workers at Foxconn, an international electronic manufacturer."
"This article explores the case study of Sunray Call Centre as an inclusive and fun workplace culture, yet reveals tensions and contradictions related to age, cultural, sexual, and gender diversity, as well as issues of employee empowerment and the absence of a trade union presence. This sheds light on workplace discrimination, and gets students to think critically about what kinds of workplace cultures can create or dispell such discrimination ","This article explores the case study of Sunray Call Centre as an inclusive and fun workplace culture. It reveals tensions and contradictions related to age, cultural, sexual, and gender diversity. This sheds light on workplace discrimination, and gets students to"
"This resource is used as the seminar case study where Meika Loe delves into the working conditions and expectations of female staff, referred to as ""Bazooms Girls,"" in the American restaurant chain Bazooms, emphasizing the sexualized nature of their uniforms and the challenges they face in maintaining a specific image, while addressing issues of sexual harassment and the employees' complex responses to their roles. This case study explores where power, gender, and sexuality intersect, shedding light on job-based power relations, gender roles, sexual identities, and harassment—all of which are relevant considerations within the context of understanding and addressing issues related to  EDI in the workplace - ""the gendered nature of the control "". ","Meika Loe delves into the working conditions and expectations of female staff, referred to as ""Bazooms Girls,"" in the American restaurant chain Bazooms. This case study explores where power, gender, and sexuality intersect,"
"This article highlights the challenges and biases women performers face in the entertainment industry due to aesthetic labor practices. It underscores the importance of recognizing and addressing the impact of embodied characteristics on recruitment and employment, overall advocating for more inclusive hiring practices within the industry.",This article highlights the challenges and biases women performers face in the entertainment industry. It underscores the importance of recognizing and addressing the impact of embodied characteristics on recruitment and employment.
"Explores how aesthetic labour has now become sexualized work for men (i.e., men as surbordinates to female managers) and women (women having to conform to male, heterosexualized demands) - this article notes that aesthetic labour affects men, but disproportionality affects women. This sheds light on the current inequalities faced in the modern day workplace (see Lecture 8 > Slide 15)

Positive portrayals: shows how aesthetic labour can negatively affect men - avoids framing only women as victims in the narrative","This article notes that aesthetic labour affects men, but disproportionality affects women. Explores how aesthetic labour has now become sexualized work for men. This sheds light on the current inequalities faced in the modern day workplace."
"Explores the concept of 'lookism', where employers discriminate on individuals based on appeareance. The article also urges other countries to follow suit with Australias potential legislation to make discrimination based on 'attractiveness' illegal - just as discrimination against race, gender, disability, etc are illegal. This article explores how aesthetic labour issues can intersect  other dimensions  of identity (race, gender, etc) which may be a issue in the workplace, and urge students to strive for a more equitable future of work and employment","The article explores the concept of 'lookism', where employers discriminate on individuals based on appeareance. The article also urges other countries to follow suit with Australias potential legislation to make discrimination based on 'attractiveness' illegal."
